Species,CO2_sd,GHG_sd,CH4_lifetime_sd,O3_sd,O3_prime_sd,Strat_H2O_sd,Aerosol_sd,Cloud_sd,Total_sd
CO2,0.24690650106896092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24690650106896092
CH4,0.002105889183890948,0.07560000000000001,0.1239375698816548,0.036693015878959206,0.03440130910194926,0.05,0.002197484774185035,0.092580961,0.23653782548894467
N2O,0.0,0.0294,0.028548253028929715,0.015462379224266737,0.0032361928065616683,0.0,0.002021268880785476,0.042168972,0.06173578439139726
HC,6.370364880436282e-06,0.0574,0.03263948857036977,0.07773503902710076,0.004557535543523023,0.0,0.0019706635308544447,0.049553562,0.11658303095141336
NOx,0.0,0.0,0.10771075661652788,0.0883028767894415,0.03010176917125973,0.0,0.004542521571242159,0.057188043,0.17003639034153528
VOC,0.008338878977189155,0.0,0.05904146992359801,0.0571433439284174,0.015687239609833755,0.0,0.005064672628458012,0.098979375,0.13668318680833277
SO2,0.0,0.0,0.0,0.0,0.0,0.0,0.22390725482763918,0.3549956267657899,0.41970984475859674
OC,0.0,0.0,0.0,0.0,0.0,0.0,0.06546073509187661,0.12367612498650062,0.13993173953912447
BC,0.0,0.0,0.0,0.0,0.0,0.0,0.15898366994955596,0.10032077880000001,0.18798953686220912
NH3,0.0,0.0,0.0,0.0,0.0,0.0,0.004824105578691499,0.0,0.004824105578691499
