year,ERF_mW_m2
1930,0
1931,0.0282261541
1932,0.0564523082
1933,0.0846784623
1934,0.1129046163
1935,0.1411307704
1936,0.1693569245
1937,0.1975830786
1938,0.2258092327
1939,0.2540353868
1940,0.2822615409
1941,0.3127751132
1942,0.3486500418
1943,0.3862887508
1944,0.4298557501
1945,0.475559651
1946,0.532138624
1947,0.5870657131
1948,0.6537955159
1949,0.723801928
1950,0.8068793493
1951,0.8940416455
1952,0.990558408
1953,1.1022770574
1954,1.2248712619
1955,1.3590135507
1956,1.5111121285
1957,1.6765247347
1958,1.8620679546
1959,2.0628820404
1960,2.2925867433
1961,2.5859104805
1962,2.9275125283
1963,3.1755233138
1964,3.4137913376
1965,3.7506471979
1966,4.1788497419
1967,5.0684937819
1968,5.9014265619
1969,6.352444874
1970,6.5471007683
1971,7.6946205161
1972,8.067633595
1973,8.3098027411
1974,8.0091771855
1975,7.9911052175
1976,7.9643568747
1977,8.4104691354
1978,8.6514605867
1979,8.9427050205
1980,8.9591054936
1981,9.0018099927
1982,9.4037412987
1983,9.8450774825
1984,10.7856108636
1985,11.4315478109
1986,12.4207628803
1987,13.3416405043
1988,14.3978696607
1989,15.4119999282
1990,15.73796952
1991,15.61860144
1992,17.1824328
1993,18.74626416
1994,19.98484488
1995,21.3219864
1996,22.56056712
1997,23.6874456
1998,24.57230256
1999,26.00033904
2000,28.4529215886
2001,28.6451710588
2002,27.9327171398
2003,29.086213961
2004,32.9877473267
2005,34.8876244439
2006,36.3351498665
2007,38.2576445684
2008,39.171141766
2009,38.1841621932
2010,42.015659576
2011,44.287272474
2012,45.3966188089
2013,46.8052412781
2014,48.6894763612
2015,51.1463085638
2016,53.8837860676
2017,56.4954523558
2018,57.614920272
2019,59.3548908642
2020,32.8534574287
2021,38.3849068937
2022,54.3064376865
