year,Fuel Tg/yr,CO2 Tg/yr,distance million km,Distance factor,Scaled distance million km
1990,173.9,549.6,14371,1.17,16754
1991,168.2,531.5,14262,1.17,16627
1992,168.6,532.8,15690,1.17,18291
1993,169.5,535.7,17118,1.17,19956
1994,177.6,561.2,18249,1.17,21275
1995,181.9,574.9,19470,1.17,22698
1996,190.2,600.9,20601,1.17,24016
1997,195.9,619.2,21630,1.17,25216
1998,199.8,631.4,22438,1.17,26158
1999,206.3,651.8,23742,1.17,27678
2000,216.9,685.5,25982,1.17,30289
2001,208.7,659.4,26157,1.17,30494
2002,209.1,660.7,25507,1.17,29735
2003,209,660.3,26560,1.17,30963
2004,222.1,701.9,30122,1.17,35117
2005,233,736.4,31857,1.17,37139
2006,235.7,744.9,33179,1.17,38680
2007,242.6,766.6,34935,1.17,40727
2008,241.5,763,35769,1.17,41699
2009,229,723.6,34868,1.17,40648
2010,240.5,760.1,38366,1.17,44727
2011,247.7,782.7,40441,1.17,47145
2012,250.4,791.1,41454,1.17,48326
2013,257.5,813.6,42740,1.17,49826
2014,265.6,839.2,44460,1.17,51832
2015,280.1,885.1,46704,1.17,54447
2016,293.6,927.9,49204,1.17,57361
2017,311,982.6,51588,1.17,60141
2018,327.1,1033.7,52611,1.17,61333
