year,aviation_emissions_teragrams_carbon
1940,7.7
1941,8.3
1942,9
1943,9.7
1944,10.5
1945,11.3
1946,12.3
1947,13.2
1948,14.3
1949,15.4
1950,16.7
1951,18
1952,19.4
1953,21
1954,22.7
1955,24.5
1956,26.5
1957,28.6
1958,30.9
1959,33.3
1960,36
1961,39.5
1962,43.5
1963,45.9
1964,48
1965,51.3
1966,55.6
1967,65.6
1968,74.3
1969,77.8
1970,78
1971,90
1972,96
1973,99.4
1974,96
1975,96.1
1976,96.4
1977,102.1
1978,105.7
1979,110.1
1980,110.9
1981,109.3
1982,110.5
1983,112
1984,119.5
1985,123.4
1986,129.9
1987,135.6
1988,141.4
1989,146.5
1990,146.9
1991,143.4
1992,142
1993,144.1
1994,150
1995,154.3
