year,gmst
1850.5,-0.051569
1851.5,0.043431
1852.5,0.088431
1853.5,0.053431
1854.5,0.050931
1855.5,0.063431
1856.5,-0.021569
1857.5,-0.131569
1858.5,-0.029069
1859.5,0.058431
1860.5,-0.061569
1861.5,-0.116569
1862.5,-0.181569
1863.5,-0.029069
1864.5,-0.051569
1865.5,0.040931
1866.5,0.033431
1867.5,0.033431
1868.5,0.053431
1869.5,0.055931
1870.5,0.020931
1871.5,-0.001569
1872.5,0.025931
1873.5,0.010931
1874.5,-0.041569
1875.5,-0.014069
1876.5,-0.044069
1877.5,0.300931
1878.5,0.363431
1879.5,0.073431
1880.5,0.030931
1881.5,0.130931
1882.5,0.050931
1883.5,0.010931
1884.5,-0.129069
1885.5,-0.119069
1886.5,-0.114069
1887.5,-0.166569
1888.5,0.008431
1889.5,0.125931
1890.5,-0.156569
1891.5,-0.044069
1892.5,-0.119069
1893.5,-0.121569
1894.5,-0.124069
1895.5,-0.056569
1896.5,0.080931
1897.5,0.083431
1898.5,-0.116569
1899.5,0.025931
1900.5,0.123431
1901.5,0.078431
1902.5,-0.069069
1903.5,-0.181569
1904.5,-0.241569
1905.5,-0.061569
1906.5,0.035931
1907.5,-0.141569
1908.5,-0.176569
1909.5,-0.211569
1910.5,-0.181569
1911.5,-0.201569
1912.5,-0.124069
1913.5,-0.109069
1914.5,0.090931
1915.5,0.143431
1916.5,-0.074069
1917.5,-0.196569
1918.5,-0.056569
1919.5,0.013431
1920.5,0.045931
1921.5,0.085931
1922.5,0.000931
1923.5,0.020931
1924.5,0.020931
1925.5,0.058431
1926.5,0.195931
1927.5,0.093431
1928.5,0.095931
1929.5,-0.069069
1930.5,0.148431
1931.5,0.210931
1932.5,0.160931
1933.5,-0.001569
1934.5,0.143431
1935.5,0.103431
1936.5,0.150931
1937.5,0.298431
1938.5,0.290931
1939.5,0.283431
1940.5,0.383431
1941.5,0.363431
1942.5,0.320931
1943.5,0.363431
1944.5,0.485931
1945.5,0.365931
1946.5,0.208431
1947.5,0.260931
1948.5,0.188431
1949.5,0.178431
1950.5,0.108431
1951.5,0.255931
1952.5,0.335931
1953.5,0.395931
1954.5,0.195931
1955.5,0.148431
1956.5,0.085931
1957.5,0.308431
1958.5,0.320931
1959.5,0.300931
1960.5,0.240931
1961.5,0.318431
1962.5,0.275931
1963.5,0.305931
1964.5,0.048431
1965.5,0.155931
1966.5,0.208431
1967.5,0.243431
1968.5,0.178431
1969.5,0.323431
1970.5,0.275931
1971.5,0.158431
1972.5,0.270931
1973.5,0.408431
1974.5,0.183431
1975.5,0.243431
1976.5,0.148431
1977.5,0.460931
1978.5,0.353431
1979.5,0.430931
1980.5,0.550931
1981.5,0.598431
1982.5,0.395931
1983.5,0.575931
1984.5,0.403431
1985.5,0.398431
1986.5,0.448431
1987.5,0.583431
1988.5,0.630931
1989.5,0.520931
1990.5,0.700931
1991.5,0.683431
1992.5,0.480931
1993.5,0.528431
1994.5,0.583431
1995.5,0.735931
1996.5,0.620931
1997.5,0.760931
1998.5,0.913431
1999.5,0.665931
2000.5,0.670931
2001.5,0.818431
2002.5,0.893431
2003.5,0.885931
2004.5,0.810931
2005.5,0.958431
2006.5,0.910931
2007.5,0.923431
2008.5,0.805931
2009.5,0.935931
2010.5,1.008431
2011.5,0.885931
2012.5,0.915931
2013.5,0.943431
2014.5,1.013431
2015.5,1.160931
2016.5,1.273431
2017.5,1.180931
2018.5,1.108431
2019.5,1.235931
2020.5,1.265931
2021.5,1.108431
2022.5,1.148431
2023.5,1.438431
2024.5,1.523431
