Year,Irrigation ERF
1750,0
1751,5.58E-05
1752,0.000108818
1753,0.000159181
1754,0.000206884
1755,0.000251954
1756,0.000294418
1757,0.000334304
1758,0.000371639
1759,0.000406451
1760,0.000438767
1761,0.000468615
1762,0.000496022
1763,0.000521016
1764,0.000543623
1765,0.000563872
1766,0.00058179
1767,0.000597405
1768,0.000610743
1769,0.000621832
1770,0.0006307
1771,0.000637375
1772,0.000641882
1773,0.000644251
1774,0.000644509
1775,0.000642682
1776,0.000638799
1777,0.000632887
1778,0.000624973
1779,0.000615085
1780,0.00060325
1781,0.000589495
1782,0.000573849
1783,0.000556339
1784,0.000536991
1785,0.000515834
1786,0.000492895
1787,0.000468201
1788,0.00044178
1789,0.000413659
1790,0.000383866
1791,0.000352428
1792,0.000319373
1793,0.000284728
1794,0.00024852
1795,0.000210778
1796,0.000171528
1797,0.000130797
1798,8.86E-05
1799,4.50E-05
1800,0
1801,-4.64E-05
1802,-9.41E-05
1803,-0.00014313
1804,-0.000193453
1805,-0.000245036
1806,-0.000297852
1807,-0.000351874
1808,-0.000407074
1809,-0.000463424
1810,-0.000520898
1811,-0.000579468
1812,-0.000639106
1813,-0.000699785
1814,-0.000761477
1815,-0.000824156
1816,-0.000887793
1817,-0.000952361
1818,-0.001017833
1819,-0.001084181
1820,-0.001151378
1821,-0.001219396
1822,-0.001288208
1823,-0.001357786
1824,-0.001428104
1825,-0.001499132
1826,-0.001570845
1827,-0.001643215
1828,-0.001716213
1829,-0.001789814
1830,-0.001863988
1831,-0.00193871
1832,-0.002013951
1833,-0.002089683
1834,-0.00216588
1835,-0.002242515
1836,-0.002319558
1837,-0.002396984
1838,-0.002474764
1839,-0.002552872
1840,-0.002631279
1841,-0.002709959
1842,-0.002788884
1843,-0.002868026
1844,-0.002947357
1845,-0.003026852
1846,-0.003106481
1847,-0.003186218
1848,-0.003266035
1849,-0.003345905
1850,-0.0034258
1851,-0.003505693
1852,-0.003585557
1853,-0.003665363
1854,-0.003745084
1855,-0.003824694
1856,-0.003904164
1857,-0.003983467
1858,-0.004062576
1859,-0.004141463
1860,-0.004220101
1861,-0.004298462
1862,-0.004376519
1863,-0.004454244
1864,-0.00453161
1865,-0.00460859
1866,-0.004685155
1867,-0.00476128
1868,-0.004836935
1869,-0.004912094
1870,-0.00498673
1871,-0.005060814
1872,-0.005134319
1873,-0.005207219
1874,-0.005279485
1875,-0.005351089
1876,-0.005422006
1877,-0.005492206
1878,-0.005561663
1879,-0.005630349
1880,-0.005698237
1881,-0.005765299
1882,-0.005831508
1883,-0.005896837
1884,-0.005961257
1885,-0.006024742
1886,-0.006087264
1887,-0.006148795
1888,-0.006209309
1889,-0.006268777
1890,-0.006327172
1891,-0.006384468
1892,-0.006440635
1893,-0.006495647
1894,-0.006549477
1895,-0.006602097
1896,-0.006653479
1897,-0.006703597
1898,-0.006752422
1899,-0.006799927
1900,-0.006846085
1901,-0.006890961
1902,-0.006934897
1903,-0.006978285
1904,-0.007021517
1905,-0.007064985
1906,-0.007109082
1907,-0.0071542
1908,-0.007200732
1909,-0.007249069
1910,-0.007299604
1911,-0.007352729
1912,-0.007408837
1913,-0.007468319
1914,-0.007531569
1915,-0.007598978
1916,-0.007670938
1917,-0.007747842
1918,-0.007830083
1919,-0.007918052
1920,-0.008012142
1921,-0.008112744
1922,-0.008220253
1923,-0.008335058
1924,-0.008457554
1925,-0.008588132
1926,-0.008727184
1927,-0.008875103
1928,-0.009032281
1929,-0.009199111
1930,-0.009375984
1931,-0.009563293
1932,-0.00976143
1933,-0.009970788
1934,-0.010191759
1935,-0.010424734
1936,-0.010670107
1937,-0.01092827
1938,-0.011199614
1939,-0.011484533
1940,-0.011783418
1941,-0.012097003
1942,-0.012426993
1943,-0.012775271
1944,-0.013143715
1945,-0.013534208
1946,-0.01394863
1947,-0.01438886
1948,-0.014856781
1949,-0.015354273
1950,-0.015883215
1951,-0.016443684
1952,-0.017030095
1953,-0.017635752
1954,-0.018253962
1955,-0.01887803
1956,-0.019501261
1957,-0.020116961
1958,-0.020718437
1959,-0.021298993
1960,-0.021851934
1961,-0.022370523
1962,-0.0227436
1963,-0.02303158
1964,-0.023342085
1965,-0.023630211
1966,-0.024066597
1967,-0.024440219
1968,-0.024965723
1969,-0.025360148
1970,-0.025779455
1971,-0.026287689
1972,-0.026819272
1973,-0.027521318
1974,-0.027959028
1975,-0.02846046
1976,-0.029067469
1977,-0.029577101
1978,-0.030213099
1979,-0.030704475
1980,-0.03121343
1981,-0.032025999
1982,-0.0326587
1983,-0.033135419
1984,-0.033645647
1985,-0.034198859
1986,-0.034746917
1987,-0.035189741
1988,-0.035610447
1989,-0.036079488
1990,-0.036636641
1991,-0.03703515
1992,-0.037497788
1993,-0.037837532
1994,-0.038272814
1995,-0.038801246
1996,-0.039425583
1997,-0.039845329
1998,-0.04027482
1999,-0.040698754
2000,-0.04124466
2001,-0.041960207
2002,-0.042750552
2003,-0.043562352
2004,-0.04399098
2005,-0.044328604
2006,-0.044645451
2007,-0.04500011
2008,-0.045261435
2009,-0.045673371
2010,-0.046175723
2011,-0.046638091
2012,-0.047219841
2013,-0.047695311
2014,-0.04802544
2015,-0.048414367
2016,-0.048690667
2017,-0.048995987
2018,-0.049217109
2019,-0.05
2020,-0.050549341
2021,-0.050623851
2022,-0.050749437
