year,SO2,BC,OC,NMVOC,NOx,NH3,CO
2000,97.809927606,3.369286092,7.7311134169999995,119.76786375399999,70.58240684600001,42.765510469999995,511.93812774099996
2001,96.53098064000001,3.335782191,7.627796507,119.735654562,70.16844915200001,43.045309461,496.164320103
2002,94.085722762,3.355815676,7.611735234,120.36110227699999,69.9376849,44.292615229,486.57376947000006
2003,94.117737261,3.462597932,7.744413577,122.466447621,70.86211493,44.697474888,480.805153205
2004,96.690833104,3.531775507,7.931732508000001,125.78677452999999,72.738169986,45.825765833,480.37936198100005
2005,98.25294219,3.603381542,8.085162823,128.170627612,72.890840627,45.436975983,477.038323006
2006,100.823815457,3.695868696,8.158810715000001,129.75942081399998,73.552056153,46.603663761,475.65654076600003
2007,102.231592253,3.8324812880000003,8.233000078,130.65111003,74.765209135,47.246294391999996,476.404001959
2008,101.627399542,3.857735613,8.346499119,131.763883588,72.868209745,47.21045145,476.409779954
2009,100.713986775,3.9945684179999996,8.48593121,131.107093594,71.649152774,48.541135739999994,471.911295218
2010,103.068693519,4.1317490569999995,8.658673834,134.384608023,73.132740214,48.91379296,483.496898939
2011,106.358187651,4.240888268,8.782435041,136.80761637499998,74.936278493,49.802182613999996,494.23120746800004
2012,106.73042993499999,4.299313314,8.821623714,140.578630002,75.78841393,50.394870255,508.42610856899995
2013,106.062701366,4.353427523,8.815538283999999,142.519423599,76.07994389,51.026006314,518.746833553
2014,106.29066629,4.300116677999999,8.811391767,143.680222901,76.377042351,50.675958181,521.075342972
2015,104.228875242,4.209455956,8.741664633,145.63723329,76.846434533,51.296332479,520.3216735630001
2016,101.16271027900001,4.0306300109999995,8.563233212,145.365933526,75.302982034,51.516187528,507.01646132
2017,99.738826157,4.0450578980000005,8.492461079,145.748366338,75.00653008399999,51.463013381,502.454214847
2018,101.10148920600001,4.033511471000001,8.576016707,146.323283221,75.547844402,51.207721388,500.66132888500005
2019,98.42232046,4.013279424,8.545520992,145.87602394299998,74.867624203,51.418442842,493.17212682599995
2020,84.273514953,3.853416039,8.477624869,138.621526967,67.56458437,51.715501796000005,462.56389905099996
2021,85.99700319200001,3.959774853,8.335866054,145.099608825,72.91791948699999,51.853020321,484.860846766
2022,84.217744328,3.9428998399999995,8.307400726000001,144.769851776,72.661668537,52.074824011,481.066447099
2023,82.621121066,3.926759887,8.273690495,144.466680808,72.025360524,52.299383199999994,477.383301159
2024,81.458616524,3.922994142,8.266786267,144.592138063,71.624586892,52.632566738,475.220511943
